"SSBS","LandUse"
"HP1_2014__Gray 1 OP3_4 125","Perennial"
"HP1_2014__Gray 1 OP4_1 126","Perennial"
"HP1_2014__Gray 1 OP4_1 127","Perennial"
"HP1_2014__Gray 1 OP4_1 128","Perennial"
"HP1_2014__Gray 1 OP4_2 129","Perennial"
"HP1_2014__Gray 1 OP4_2 130","Perennial"
"HP1_2014__Gray 1 OP4_2 131","Perennial"
"HP1_2014__Gray 1 OP4_3 132","Perennial"
"HP1_2014__Gray 1 OP4_3 133","Perennial"
"HP1_2014__Gray 1 oP4_3 134","Perennial"
"HP1_2014__Gray 1 OP4_4 135","Perennial"
"HP1_2014__Gray 1 OP4_4 136","Perennial"
"HP1_2014__Gray 1 OP4_4 137","Perennial"
"HP1_2014__Gray 1 OP9_1 138","Perennial"
"HP1_2014__Gray 1 OP9_1 139","Perennial"
"HP1_2014__Gray 1 OP9_1 140","Perennial"
"HP1_2014__Gray 1 OP9_2 141","Perennial"
"HP1_2014__Gray 1 OP9_2 142","Perennial"
"HP1_2014__Gray 1 OP9_3 143","Perennial"
"HP1_2014__Gray 1 OP9_3 144","Perennial"
"HP1_2014__Gray 1 OP9_4 145","Perennial"
"HP1_2014__Gray 1 OP9_4 146","Perennial"
"HP1_2014__Gray 1 RR1_1 148","Perennial"
"HP1_2014__Gray 1 RR1_1 149","Perennial"
"HP1_2014__Gray 1 RR1_2 151","Perennial"
"HP1_2014__Gray 1 RR1_2 152","Perennial"
"HP1_2014__Gray 1 RR1_3 155","Perennial"
"HP1_2014__Gray 1 RR1_4 158","Perennial"
"HP1_2014__Gray 1 RR12_1 160","Perennial"
"HP1_2014__Gray 1 RR12_1 161","Perennial"
"HP1_2014__Gray 1 RR12_2 163","Perennial"
"HP1_2014__Gray 1 RR12_2 164","Perennial"
"HP1_2014__Gray 1 RR12_3 166","Perennial"
"HP1_2014__Gray 1 RR12_3 167","Perennial"
"HP1_2014__Gray 1 RR12_4 169","Perennial"
"HP1_2014__Gray 1 RR12_4 170","Perennial"
"HP1_2014__Gray 1 RR3_1 172","Perennial"
"HP1_2014__Gray 1 RR3_1 173","Perennial"
"HP1_2014__Gray 1 RR3_2 175","Perennial"
"HP1_2014__Gray 1 RR3_2 176","Perennial"
"HP1_2014__Gray 1 RR3_3 178","Perennial"
"HP1_2014__Gray 1 RR3_3 179","Perennial"
"HP1_2014__Gray 1 RR3_4 181","Perennial"
"HP1_2014__Gray 1 RR3_4 182","Perennial"
"HP1_2014__Gray 1 RR4_1 184","Perennial"
"HP1_2014__Gray 1 RR4_1 185","Perennial"
"HP1_2014__Gray 1 RR4_2 187","Perennial"
"HP1_2014__Gray 1 RR4_2 188","Perennial"
"HP1_2014__Gray 1 RR4_3 190","Perennial"
"HP1_2014__Gray 1 RR4_3 191","Perennial"
"HP1_2014__Gray 1 RR4_4 193","Perennial"
"HP1_2014__Gray 1 RR4_4 194","Perennial"
"HP1_2014__Gray 1 RR5_1 196","Perennial"
"HP1_2014__Gray 1 RR5_1 197","Perennial"
"HP1_2014__Gray 1 RR5_2 200","Perennial"
"HP1_2014__Gray 1 RR5_3 202","Perennial"
"HP1_2014__Gray 1 RR5_3 203","Perennial"
"HP1_2014__Gray 1 RR5_4 205","Perennial"
"HP1_2014__Gray 1 RR5_4 206","Perennial"
"HP1_2014__Gray 1 RR6_1 207","Perennial"
"HP1_2014__Gray 1 RR6_1 208","Perennial"
"HP1_2014__Gray 1 RR6_2 211","Perennial"
"HP1_2014__Gray 1 RR6_3 213","Perennial"
"HP1_2014__Gray 1 RR6_3 214","Perennial"
"HP1_2014__Gray 1 RR6_4 216","Perennial"
"HP1_2014__Gray 1 RR6_4 217","Perennial"
"HP1_2014__Gray 1 RR9_1 231","Perennial"
"HP1_2014__Gray 1 RR9_1 232","Perennial"
"HP1_2014__Gray 1 RR9_2 234","Perennial"
"HP1_2014__Gray 1 RR9_2 235","Perennial"
"HP1_2014__Gray 1 RR9_3 237","Perennial"
"HP1_2014__Gray 1 RR9_3 238","Perennial"
"HP1_2014__Gray 1 RR9_4 240","Perennial"
"HP1_2014__Gray 1 RR9_4 241","Perennial"
"HW1_2004__Maeto 1  10","Secondary vegetation and Timber Light and Intense"
"HW1_2004__Maeto 1  11","Secondary vegetation and Timber Light and Intense"
"HW1_2004__Maeto 1  12","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 10","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 11","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 12","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 13","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 14","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 15","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 16","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 17","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 18","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 19","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 20","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 21","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 22","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 23","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 24","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 25","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 1 26","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 38","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 39","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 40","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 41","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 42","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 43","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 44","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 45","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 46","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 47","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 48","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 49","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 50","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 51","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 52","Secondary vegetation and Timber Light and Intense"
"HW1_2008__Lantschner 1 2 53","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  1","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  2","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  3","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  4","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  5","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  6","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  7","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  8","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  9","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  10","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  11","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  12","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  13","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  14","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  15","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  16","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  17","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  18","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  19","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  20","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  21","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  22","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  23","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  24","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  25","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  26","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  27","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  28","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  29","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  30","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  31","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  32","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  33","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  34","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  35","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  36","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  37","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  38","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  39","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  40","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  41","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  42","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  43","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  44","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  45","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  46","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  47","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Brunet 1  48","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  1","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  4","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  6","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  8","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  11","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  12","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  14","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  16","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  17","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  18","Secondary vegetation and Timber Light and Intense"
"HW1_2011__Yoshikura 1  19","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  21","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  22","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  23","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  24","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  25","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  26","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  27","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  28","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  29","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  30","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  31","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  32","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  33","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  34","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  35","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  36","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  37","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  38","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  39","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  40","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  71","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  72","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  73","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  74","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  75","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  76","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  77","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  78","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  79","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  80","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  81","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  82","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  83","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  84","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  85","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  86","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  87","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  88","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  89","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  90","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  91","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  92","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  93","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  94","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  95","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  96","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  97","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  98","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  99","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  120","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  121","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  122","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  123","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  124","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  125","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  126","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  127","Secondary vegetation and Timber Light and Intense"
"HW1_2012__Lantschner 1  128","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  1","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  2","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  3","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  4","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  5","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  6","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  7","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  8","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  12","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  13","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  14","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  15","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  16","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  17","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  18","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  21","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  27","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  28","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  30","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  33","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  34","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  36","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  38","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  39","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  40","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  41","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  42","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  43","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  44","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  48","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  49","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  50","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  51","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  52","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  53","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  55","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  56","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  58","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  59","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  60","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  61","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  62","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  63","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  64","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  65","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  67","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  72","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  73","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  75","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  83","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  84","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  87","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  89","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  91","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  92","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  93","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  94","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  95","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  98","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  99","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  100","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  125","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  131","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  135","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  136","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  139","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  154","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  162","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  164","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  169","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  173","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  189","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  192","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  196","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  201","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  202","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  203","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  204","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  207","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  208","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  209","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  210","Secondary vegetation and Timber Light and Intense"
"HZ1_2009__McShea 1  211","Secondary vegetation and Timber Light and Intense"
"HZ1_2012__Kittle 2  5","Perennial"
"HZ1_2012__Kittle 2  14","Perennial"
"HZ1_2014__Cassano 1  1","Perennial"
"HZ1_2014__Cassano 1  2","Perennial"
"HZ1_2014__Cassano 1  3","Perennial"
"HZ1_2014__Cassano 1  4","Perennial"
"HZ1_2014__Cassano 1  5","Perennial"
"HZ1_2014__Cassano 1  6","Perennial"
"HZ1_2014__Cassano 1  7","Perennial"
"HZ1_2014__Cassano 1  8","Perennial"
"HZ1_2014__Cassano 1  9","Perennial"
"HZ1_2014__Cassano 1  10","Perennial"
"HZ1_2014__Cassano 1  11","Perennial"
"HZ1_2014__Cassano 1  12","Perennial"
"HZ1_2014__Cassano 1  13","Perennial"
"HZ1_2014__Cassano 1  14","Perennial"
"HZ1_2014__Cassano 1  15","Perennial"
"HZ1_2014__Cassano 1  16","Perennial"
"HZ1_2014__Cassano 1  17","Perennial"
"HZ1_2014__Cassano 1  18","Perennial"
"HZ1_2014__Cassano 1  19","Perennial"
"HZ1_2014__Cassano 1  20","Perennial"
"HZ1_2014__Cassano 1  21","Perennial"
"HZ1_2014__Cassano 1  22","Perennial"
"HZ1_2014__Cassano 1  23","Perennial"
"HZ1_2014__Cassano 1  24","Perennial"
"HZ1_2014__Cassano 1  25","Perennial"
"HZ1_2014__Cassano 1  26","Perennial"
"HZ1_2014__Cassano 1  27","Perennial"
"HZ1_2014__Cassano 1  28","Perennial"
"HZ1_2014__Cassano 1  29","Perennial"
"HZ1_2014__Cassano 1  30","Perennial"
"HZ1_2014__Cassano 1  31","Perennial"
"JD1_2002__Pearman 1  16","Perennial"
"JD1_2002__Pearman 1  23","Perennial"
"JD1_2002__Pearman 2  16","Perennial"
"JD1_2002__Pearman 2  23","Perennial"
"KS1_2002__Vallan 1  7","Secondary vegetation and Timber Light and Intense"
"KS1_2002__Vallan 1  8","Secondary vegetation and Timber Light and Intense"
"KS1_2002__Vallan 1  9","Secondary vegetation and Timber Light and Intense"
"KS1_2011__Azman 1  2","Perennial"
"MG1_2005__Arroyo 1  9","Timber"
"MG1_2005__Vanbergen 1  2","Timber"
"MG1_2008__Buscardo 1  1","Timber"
"MG1_2008__Buscardo 1  3","Timber"
"MG1_2008__Buscardo 1  5","Timber"
"MG1_2008__Buscardo 1  7","Timber"
"MG1_2008__Buscardo 1  9","Timber"
"MG1_2008__Buscardo 1  11","Timber"
"MG1_2008__Buscardo 1  13","Timber"
"MG1_2008__Buscardo 1  15","Timber"
"MG1_2008__Buscardo 1  17","Timber"
"MG1_2008__Buscardo 1  19","Timber"
"MG1_2008__Buscardo 1  21","Timber"
"MG1_2008__Buscardo 1  23","Timber"
"MG1_2008__Paritsis 1 1 2","Timber"
"MG1_2008__Paritsis 1 2 4","Timber"
"MG1_2008__Paritsis 1 3 6","Timber"
"MG1_2008__Paritsis 1 4 8","Timber"
"MG1_2008__Paritsis 2  2","Timber"
"MG1_2008__Paritsis 2  4","Timber"
"MG1_2008__Paritsis 2  6","Timber"
"MG1_2008__Paritsis 2  8","Timber"
"MG1_2008__Paritsis 3  2","Timber"
"MG1_2008__Paritsis 3  4","Timber"
"MG1_2008__Paritsis 3  6","Timber"
"MG1_2008__Paritsis 3  8","Timber"
"MH1_2009__Turner 1  10","Perennial"
"MH1_2009__Turner 1  11","Perennial"
"MH1_2009__Turner 1  12","Perennial"
"MH1_2009__Turner 1  13","Perennial"
"MH1_2009__Turner 1  14","Perennial"
"MH1_2010__CATIE 1  1","Perennial"
"MH1_2010__CATIE 1  2","Perennial"
"MH1_2010__CATIE 1  3","Perennial"
"MH1_2010__CATIE 1  4","Perennial"
"MH1_2010__CATIE 1  5","Perennial"
"MH1_2010__CATIE 1  6","Perennial"
"MH1_2010__CATIE 1  7","Perennial"
"MH1_2010__CATIE 1  8","Perennial"
"MH1_2010__CATIE 1  9","Perennial"
"MH1_2010__CATIE 1  10","Perennial"
"MH1_2010__CATIE 1  11","Perennial"
"MH1_2010__CATIE 1  12","Perennial"
"MH1_2010__CATIE 1  13","Perennial"
"MH1_2010__CATIE 1  14","Perennial"
"MH1_2010__CATIE 1  15","Perennial"
"MH1_2010__CATIE 1  16","Perennial"
"MH1_2010__CATIE 1  17","Perennial"
"MH1_2010__CATIE 1  18","Perennial"
"MH1_2010__CATIE 1  19","Perennial"
"MH1_2010__CATIE 1  20","Perennial"
"MH1_2010__CATIE 1  21","Perennial"
"MH1_2010__CATIE 1  22","Perennial"
"MH1_2010__CATIE 1  23","Perennial"
"MH1_2010__CATIE 1  24","Perennial"
"MH1_2010__CATIE 1  25","Perennial"
"MH1_2010__CATIE 1  26","Perennial"
"MH1_2010__CATIE 1  27","Perennial"
"MH1_2010__CATIE 1  28","Perennial"
"MH1_2010__CATIE 1  29","Perennial"
"MH1_2010__CATIE 1  30","Perennial"
"MH1_2010__CATIE 1  31","Perennial"
"MH1_2010__CATIE 1  32","Perennial"
"MH1_2010__CATIE 1  33","Perennial"
"MH1_2010__CATIE 1  34","Perennial"
"MH1_2010__CATIE 1  35","Perennial"
"MH1_2010__CATIE 1  36","Perennial"
"MH1_2010__CATIE 2  1","Perennial"
"MH1_2010__CATIE 2  2","Perennial"
"MH1_2010__CATIE 2  3","Perennial"
"MH1_2010__CATIE 2  4","Perennial"
"MH1_2010__CATIE 2  5","Perennial"
"MH1_2010__CATIE 2  6","Perennial"
"MH1_2010__CATIE 2  7","Perennial"
"MH1_2010__CATIE 2  8","Perennial"
"MH1_2010__CATIE 2  9","Perennial"
"MH1_2010__CATIE 2  10","Perennial"
"MH1_2010__CATIE 2  11","Perennial"
"MH1_2010__CATIE 2  12","Perennial"
"MH1_2010__CATIE 2  13","Perennial"
"MH1_2010__CATIE 2  14","Perennial"
"MH1_2010__CATIE 2  15","Perennial"
"MH1_2010__CATIE 2  16","Perennial"
"MH1_2010__CATIE 2  17","Perennial"
"MH1_2010__CATIE 2  18","Perennial"
"MH1_2010__CATIE 2  19","Perennial"
