Model;Scenario;Region;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CH4|Land Use|Agriculture|AWM;Mt CH4/yr;0.6234;0.6595;0.8349;0.9142;0.9299;0.874;0.8095;0.837;0.7839;0.7708;0.8142;0.8623;0.8786;0.9121;0.9092;0.8802;0.8337;0.7857;0.7055;0.6088;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CH4|Land Use|Agriculture|Enteric Fermentation;Mt CH4/yr;6.2201;6.4889;8.4832;9.6241;9.971;9.4731;8.5109;8.8748;7.9875;7.7499;7.8883;8.2428;8.2508;8.4445;8.2647;7.8545;7.2817;6.7225;5.8037;4.8803;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CH4|Land Use|Agriculture|Rice;Mt CH4/yr;2.8809;2.4672;0.1607;0.1493;0.1163;0.1049;0.0753;0.0653;0.0412;0.0362;0.0268;0.0258;0.0222;0.0212;0.0182;0.0175;0.0133;0.0127;0.0106;0.0101;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CH4|Land Use|Forest Burning;Mt CH4/yr;1.0576;1.0694;1.0415;1.1053;1.1055;1.133;1.1437;1.1437;1.1445;1.1645;1.1482;1.2116;1.1511;1.1967;1.1661;1.3715;1.6963;1.1812;1.3361;1.5784;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CH4|Land Use|Savannah Burning;Mt CH4/yr;0.0601;0.0601;0.0599;0.0409;0.0409;0.035;0.0319;0.0299;0.0265;0.0241;0.0238;0.0236;0.0231;0.0229;0.0208;0.0196;0.0185;0.0185;0.0142;0.0126;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|CO2|Land Use;Mt CO2/yr;-399.5363;-64.5155;-28.4874;-95.1574;-137.5026;-178.4382;19.0069;408.6722;602.2874;410.1584;107.6862;-2.929;-4.4739;-19.6622;-36.1426;-24.0267;-10.3476;-6.1664;-2.3758;-1.1879;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use;kt N2O/yr;427.3108;427.0345;373.8833;376.9884;359.742;341.8314;313.2882;321.9026;406.3799;465.4197;406.7529;329.9952;315.1064;311.2478;299.4889;302.9452;302.0854;260.1998;247.275;248.7996;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Agricultural Waste Burning;kt N2O/yr;4.442;4.5915;4.3312;4.4002;4.1373;4.0688;3.8069;3.7421;3.9256;3.9543;3.9801;4.0168;3.959;3.8965;3.8761;3.8476;3.7649;3.6316;3.365;3.3284;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Agriculture;kt N2O/yr;360.2558;359.1916;307.8291;309.2452;292.257;273.495;244.9415;253.8052;338.3769;396.539;338.7551;258.5447;247.0457;240.7993;230.9171;223.3962;205.1325;191.283;170.6553;159.2445;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Agriculture|AWM;kt N2O/yr;58.2891;57.9267;53.1779;57.3361;59.3677;53.5225;48.1192;47.8614;43.3024;39.0025;38.4442;38.0467;35.4088;34.1312;30.8096;27.4183;23.258;19.9318;15.8155;12.2154;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Agriculture|Cropland Soils;kt N2O/yr;258.2495;258.862;218.4299;214.4861;195.6925;187.4578;168.8257;179.4046;271.7198;336.685;280.3097;201.1681;194.0299;190.0073;185.3142;183.0215;171.0368;162.1831;147.6687;141.602;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Agriculture|Pasture;kt N2O/yr;43.7172;42.4028;36.2213;37.423;37.1967;32.5147;27.9965;26.5392;23.3547;20.8515;20.0012;19.3299;17.607;16.6608;14.7933;12.9564;10.8377;9.1681;7.171;5.4271;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Forest Burning;kt N2O/yr;56.8777;57.5167;56.0039;59.4346;59.4446;60.9261;61.499;61.4993;61.5445;62.6241;61.7423;65.1779;61.8957;64.3649;62.7081;73.8302;91.4254;63.5227;71.9031;85.0253;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Emissions|N2O|Land Use|Savannah Burning;kt N2O/yr;5.7353;5.7347;5.7191;3.9084;3.9031;3.3416;3.0408;2.856;2.5329;2.3022;2.2755;2.2558;2.2059;2.1872;1.9875;1.8712;1.7626;1.7626;1.3516;1.2014;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Fertilizer Use|Nitrogen;Tg N/yr;3.2689;6.2124;4.8565;4.4513;3.622;3.483;3.0746;3.1355;2.1622;1.0021;2.7561;4.047;3.7677;3.4625;3.3884;3.4442;3.1766;2.989;2.77;2.9109;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply;EJ/yr;1.3016;1.3298;1.361;1.3764;1.3554;1.2999;1.2444;1.2071;1.1833;1.1657;1.158;1.1488;1.1374;1.1243;1.1093;1.0923;1.0738;1.0547;1.0351;1.0145;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply|Crops;EJ/yr;1.0267;1.0304;1.0341;1.0344;1.0312;1.024;1.014;1.0059;0.9987;0.9909;0.9843;0.9765;0.9668;0.9557;0.9429;0.9284;0.9127;0.8965;0.8798;0.8624;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply|Crops|Per Capita;kcal/cap/day;2417.4618;2416.2074;2410.8681;2403.8988;2396.1772;2384.929;2369.0874;2355.098;2345.2394;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;2337.5;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply|Livestock;EJ/yr;0.2748;0.2994;0.3269;0.342;0.3241;0.276;0.2304;0.2012;0.1846;0.1749;0.1737;0.1723;0.1706;0.1686;0.1664;0.1638;0.1611;0.1582;0.1553;0.1522;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply|Livestock|Per Capita;kcal/cap/day;647.0805;702.1759;761.9888;794.8081;753.0801;642.7863;538.1813;471.1469;433.4196;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;412.5;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Food Energy Supply|Per Capita;kcal/cap/day;3064.5423;3118.3833;3172.8569;3198.7068;3149.2573;3027.7153;2907.2687;2826.2449;2778.659;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;2750;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;GDP per capita|MER;US$2005/cap/yr;3567.7521;4308.4419;5262.1123;6352.0311;7578.3959;8869.6602;10135.1173;11307.5915;12326.878;13218.8467;14160.6951;15330.0909;16630.2716;17973.4146;19278.8188;20582.2191;21937.843;23378.8478;24901.8463;26459.045;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;GDP|MER;billion US$2005/yr;0.9922;1.2031;1.478;1.7898;2.1357;2.4936;2.8407;3.1624;3.4374;3.6692;3.9046;4.1935;4.504;4.8117;5.0923;5.3531;5.6091;5.8711;6.1375;6.3918;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover;million ha;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;2131.0047;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Built-up Area;million ha;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;23.2446;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Cropland;million ha;181.0484;181.8276;182.7344;183.2303;183.2308;171.4252;171.4358;181.6155;199.2901;206.5892;206.4796;206.4895;205.8226;205.8443;205.8042;205.7224;205.419;205.419;199.7589;199.7589;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Cropland|Cereals;million ha;97.9277;100.182;87.5083;81.8988;72.3114;67.3396;62.7159;58.0344;58.7153;60.3362;58.5843;57.4269;56.7568;56.0129;55.9374;55.921;55.9543;55.852;51.966;51.912;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Cropland|Energy Crops;million ha;2e-04;1.0666;1.7191;5.42;16.8778;17.7684;29.539;59.2603;84.5327;94.7748;97.7973;97.2615;97.1692;97.4026;98.9037;100.4908;98.4737;96.9642;95.2319;94.0644;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Cropland|Energy Crops|Irrigated;million ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Cropland|Irrigated;million ha;16.7122;16.8847;17.3468;18.6891;18.4848;18.189;18.2614;18.481;18.4928;17.9377;17.6127;17.7836;17.6782;17.5931;17.3936;16.5291;16.0922;15.8466;12.6784;11.9342;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Forest;million ha;919.5892;918.8093;918.761;918.761;918.761;918.761;918.761;918.761;918.7753;919.0908;919.3033;919.5891;919.5891;919.5891;919.5891;919.5891;919.5891;919.5891;919.5892;919.5891;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Forest|Afforestation and Reforestation;million ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Forest|Forestry;million ha;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;24.7372;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Forest|Natural Forest;million ha;894.8519;894.0721;894.0238;894.0238;894.0238;894.0238;894.0238;894.0238;894.0381;894.3536;894.5661;894.8519;894.8519;894.8519;894.8519;894.8519;894.8519;894.8519;894.8519;894.8519;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Other Natural Land;million ha;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;692.4502;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Pasture;million ha;314.6723;314.642;313.7835;214.436;214.146;183.3384;166.8377;156.6961;138.9725;126.3126;124.845;123.7657;121.0288;120.0017;109.0449;102.6668;96.7067;96.7067;74.1561;65.9162;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Land Cover|Restoration land;million ha;0;0.0309;0.0309;98.8826;99.1721;141.7853;158.2754;158.2373;158.272;163.3172;164.682;165.4656;168.8693;169.8748;180.8717;187.3317;193.5951;193.5951;221.8058;230.0457;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Population;million;278.1062;279.2363;280.8814;281.7606;281.8118;281.141;280.2796;279.6707;278.855;277.5738;275.7379;273.5464;270.8325;267.7133;264.1412;260.0834;255.6821;251.1274;246.4671;241.573;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Cereals|Index;2005=1;1;1.04;1.16;1.15;1.06;0.83;0.89;0.94;0.78;0.73;0.75;0.84;0.84;0.91;1.01;1.12;1.29;1.44;1.7;1.97;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Corn|Index;2005=1;1;1.08;1.13;1.14;1.01;0.98;1.13;1.2;1.13;1.07;1.12;1.23;1.26;1.33;1.46;1.61;1.84;2.05;2.39;2.75;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Livestock|Index;Index (2005 = 1);1;1;1.25;1.27;1.3;1.16;1.32;1.58;1.67;1.71;1.77;2.08;2.18;2.38;2.76;3.11;3.6;4.15;4.89;5.75;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Non-Energy Crops and Livestock|Index;Index (2005 = 1);1;1.01;1.17;1.18;1.17;1;1.11;1.28;1.3;1.31;1.33;1.51;1.55;1.68;1.89;2.09;2.37;2.69;3.14;3.66;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Non-Energy Crops|Index;Index (2005 = 1);1;1.01;1.09;1.08;1.03;0.83;0.89;0.96;0.91;0.88;0.85;0.9;0.88;0.92;0.96;0.99;1.05;1.13;1.26;1.4;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Oilcrops|Index;2005=1;1;1.11;1.4;1.5;1.66;1.25;1.68;2.04;2.19;2.16;1.95;2.09;2;2.06;2.15;2.09;2.08;2.16;2.42;2.72;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Soybean|Index;2005=1;1;1.07;1.13;1.2;1.18;1.03;1.22;1.38;1.35;1.33;1.28;1.33;1.32;1.32;1.28;1.22;1.2;1.16;1.16;1.26;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Sugarcrops|Index;2005=1;1;1.01;1.08;1.06;1.08;0.94;1.02;1.2;1.27;1.29;1.23;1.29;1.27;1.3;1.3;1.3;1.31;1.39;1.51;1.66;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Agriculture|Wheat|Index;2005=1;1;1.04;1.15;1.13;1.05;0.81;0.87;0.91;0.75;0.69;0.71;0.79;0.8;0.87;0.96;1.07;1.22;1.37;1.62;1.88;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Carbon;US$2005/t CO2;0;0;79.32;104;135.9;176.6;227.2;294.5;377.7;480.6;613.8;853.8;1017.9;1182;1554.5;1927;2486.4999;3046;3900.5001;4754.9999;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Price|Primary Energy|Biomass;US$2005/GJ;5.6057;6.4413;7.5682;8.2719;11.8444;8.9458;12.3739;18.1143;23.6819;25.7398;25.8917;24.8943;22.8211;24.2776;27.1161;27.4515;23.4647;23.6988;25.6636;28.42;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Water|Withdrawal|Irrigation;million m3/yr;120664;120835;120936;126103;125625;125341;125443;126017;126829;123071;121780;122479;121891;121619;120988;119597;118898;118716;104462;99975;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Yield|Cereal;t DM/ha/yr;1.2735;1.3251;1.3126;1.4351;1.4503;1.6307;1.6685;1.8257;2.0498;2.0481;2.1466;2.1861;2.1777;2.1748;2.1658;2.1653;1.9744;1.7154;1.623;1.5681;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Yield|Oilcrops;t DM/ha/yr;0.4072;0.4794;0.5471;0.6036;0.6416;0.6859;0.7154;0.8875;1.1012;1.1588;1.2657;1.2194;1.2053;1.1321;1.2308;1.0893;1.1528;1.0374;0.9837;0.8594;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;FSU;Yield|Sugarcrops;t DM/ha/yr;3.2146;3.299;3.6725;3.7651;3.969;4.5265;4.5191;4.9401;5.0852;5.66;6.0553;6.3879;6.5313;6.6959;6.734;6.7422;8.5304;8.5947;8.7259;8.8432;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand;million t DM/yr;541.3552;627.6802;694.3001;794.3211;890.6445;979.0092;1194.7309;1499.9423;1737.2623;1803.7179;1790.2884;1801.6786;1864.6884;1919.4228;1956.45;1987.0764;1976.3043;1961.2237;1984.5487;2008.9411;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Bioenergy;million t DM/yr;6e-04;3.6611;6e-04;4.8474;9.0073;12.7783;150.5056;395.399;594.2767;632.9972;598.766;599.8883;662.1779;724.4675;773.0084;821.5494;833.8951;846.2407;900.9545;955.6684;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Bioenergy|1st generation;million t DM/yr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Bioenergy|2nd generation;million t DM/yr;6e-04;3.6611;6e-04;4.8474;9.0073;12.7783;150.5056;395.399;594.2767;632.9972;598.766;599.8883;662.1779;724.4675;773.0084;821.5494;833.8951;846.2407;900.9545;955.6684;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Crops|Feed;million t DM/yr;42.7197;70.345;88.0973;125.8759;163.9035;196.6249;224.4963;240.2974;247.8305;250.933;254.0811;252.9356;248.8201;240.2443;231.3585;220.5037;207.3329;193.2582;177.9368;164.9792;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Crops|Food;million t DM/yr;419.4419;460.9442;501.9504;543.9076;584.0695;622.0448;660.3609;695.8615;721.0353;741.3857;755.2377;763.7241;768.1473;769.7149;767.8616;762.6563;754.5144;743.8684;731.1706;717.3489;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Crops|Other;million t DM/yr;58.0086;64.9643;71.9187;79.7984;85.8784;92.2219;97.8689;102.6856;105.7264;107.8625;109.451;110.8568;110.431;109.8956;109.5053;108.389;107.6809;106.2671;104.3895;102.4982;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Feed;million t DM/yr;45.1722;74.3194;92.1779;131.5333;171.1768;205.4366;235.0019;251.9667;260.2426;263.8686;267.4631;266.5648;262.5136;253.8034;244.6836;233.5091;219.9408;205.4269;189.6297;176.1715;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Food;million t DM/yr;437.2824;483.7377;529.1039;576.9312;623.2617;667.1485;709.8362;748.292;775.3625;797.2913;812.8769;822.6169;827.8042;829.4935;827.4963;821.8867;813.0663;801.5941;787.911;772.9727;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Livestock|Feed;million t DM/yr;2.4525;3.9744;4.0806;5.6574;7.2733;8.8118;10.5055;11.6694;12.4121;12.9356;13.3821;13.6292;13.6935;13.5591;13.3251;13.0054;12.6079;12.1687;11.6929;11.1923;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Livestock|Food;million t DM/yr;17.8405;22.7935;27.1535;33.0237;39.1922;45.1036;49.4753;52.4305;54.3273;55.9056;57.6392;58.8928;59.6569;59.7786;59.6347;59.2304;58.5519;57.7257;56.7404;55.6238;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Livestock|Other;million t DM/yr;0.8915;0.9978;1.0991;1.2108;1.3204;1.4239;1.5183;1.5989;1.6541;1.6983;1.7314;1.7518;1.7618;1.763;1.7564;1.7422;1.7212;1.6948;1.664;1.6304;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Demand|Other;million t DM/yr;58.9001;65.9621;73.0177;81.0092;87.1988;93.6458;99.3872;104.2845;107.3805;109.5608;111.1824;112.6086;112.1928;111.6585;111.2617;110.1312;109.4021;107.9619;106.0534;104.1286;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Production;million t DM/yr;528.8657;597.5206;664.9318;752.6025;791.7565;849.2838;1031.112;1310.4287;1528.5223;1580.8559;1557.1603;1570.7938;1622.5429;1675.3059;1719.7247;1756.3873;1768.1315;1773.8357;1814.8605;1856.5368;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Production|Crops|Energy;million t DM/yr;6e-04;3.6611;6e-04;4.8474;9.0073;12.7783;150.5056;395.399;594.2767;632.9972;598.766;599.8883;662.1779;724.4675;773.0084;821.5494;833.8951;846.2407;900.9545;955.6684;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Production|Crops|Non-Energy;million t DM/yr;505.8591;565.7111;635.0166;711.7697;740.7225;789.0553;829.1914;861.4691;879.8715;893.1687;903.3849;916.1361;906.3483;898.1665;895.6107;885.4893;886.8225;882.1738;870.5318;859.5633;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Production|Crops|Non-Energy|Cereals;million t DM/yr;294.9979;318.9715;357.8247;392.7259;384.8107;402.4457;418.0174;429.6267;433.7559;434.3566;431.3034;424.8827;416.1281;405.742;393.8287;380.57;380.9616;384.3359;377.9775;376.1143;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Agricultural Production|Livestock;million t DM/yr;23.0061;28.1485;29.9147;35.9854;42.0266;47.4501;51.415;53.5606;54.3742;54.69;55.0094;54.7694;54.0168;52.672;51.1056;49.3486;47.4139;45.4212;43.3742;41.3051;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Biodiversity|BII;unitless;0.1917;0.1877;0.1922;0.1976;0.1987;0.2012;0.2041;0.206;0.2079;0.2084;0.2091;0.2091;0.2098;0.211;0.2105;0.2109;0.211;0.2102;0.2109;0.2104;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Biodiversity|ESHI;unitless;1;0.9719;0.9763;0.9845;1.081;1.1945;1.1971;1.1996;1.1997;1.207;1.2074;1.2074;1.2077;1.2078;1.2078;1.2088;1.225;1.225;1.2899;1.2946;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Biodiversity|NPotSpeciesInRegion;number of species;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;264;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Biodiversity|NSpeciesExtinctAtFirstYear;number of species;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Biodiversity|RLI;unitless;0.9803;0.972;0.972;0.9773;0.9795;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9826;0.9833;0.9826;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use;Mt CH4/yr;30.9056;38.9779;29.425;33.1044;32.9222;35.2439;33.0627;33.1037;29.6984;29.0916;26.8054;26.0247;24.2114;22.9933;21.307;20.0584;18.1619;16.9566;15.2199;14.0983;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Agricultural Waste Burning;Mt CH4/yr;1.5637;1.6662;1.821;1.9844;2.0071;2.0921;2.1473;2.1702;2.1753;2.1657;2.1488;2.1355;2.0746;2.0142;1.9619;1.8974;1.8588;1.81;1.7425;1.6805;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Agriculture;Mt CH4/yr;28.4423;36.4521;27.3953;30.9281;30.7271;32.969;30.7381;30.76;27.3524;26.7565;24.488;23.7215;21.9699;20.813;19.1798;17.9963;16.1396;14.9829;13.3165;12.2568;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Agriculture|AWM;Mt CH4/yr;2.0218;2.7183;1.7177;2.0033;1.9648;2.1648;1.9537;1.9852;1.8251;1.7966;1.7345;1.692;1.5694;1.4993;1.3643;1.2908;1.1598;1.0869;0.9682;0.9007;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Agriculture|Enteric Fermentation;Mt CH4/yr;20.8818;28.584;20.7954;24.0638;25.1435;27.4744;26.3415;26.5103;23.8114;23.2466;21.3913;20.6834;19.2123;18.178;16.8297;15.7586;14.1795;13.1292;11.7114;10.7491;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Agriculture|Rice;Mt CH4/yr;5.5386;5.1498;4.8821;4.861;3.6188;3.3298;2.4428;2.2645;1.7159;1.7132;1.3621;1.3461;1.1883;1.1358;0.9859;0.9469;0.8003;0.7669;0.6369;0.607;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Forest Burning;Mt CH4/yr;0.8396;0.7866;0.1509;0.1509;0.1509;0.151;0.1509;0.1509;0.1509;0.1509;0.1509;0.1509;0.1509;0.1509;0.1509;0.1516;0.1524;0.1527;0.1559;0.1566;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CH4|Land Use|Savannah Burning;Mt CH4/yr;0.0601;0.0731;0.0578;0.0409;0.0371;0.0318;0.0265;0.0227;0.0199;0.0186;0.0177;0.0168;0.016;0.0152;0.0143;0.0131;0.011;0.011;0.005;0.0043;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|CO2|Land Use;Mt CO2/yr;962.202;735.1662;588.9007;436.2604;219.2491;121.446;125.6605;113.1522;87.0588;56.0452;38.8448;34.9019;33.314;31.9067;32.0253;30.6998;20.0841;7.7529;3.7802;0.4404;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use;kt N2O/yr;853.6134;989.4846;767.6526;920.8829;890.5289;835.9847;794.9342;812.0939;753.9856;725.6126;665.6044;649.5246;618.181;601.9271;570.5663;552.8458;524.7657;509.0763;479.5764;468.3195;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Agricultural Waste Burning;kt N2O/yr;17.7695;18.9336;20.6929;22.5501;22.808;23.7737;24.4009;24.6612;24.7189;24.6099;24.4186;24.2665;23.5755;22.889;22.2947;21.5613;21.1233;20.5677;19.8011;19.0971;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Agriculture;kt N2O/yr;804.0321;939.1347;736.2599;889.2521;858.9992;803.9953;762.827;780.0878;722.1919;694.0452;634.316;618.4741;587.9019;572.4105;541.7274;524.8348;497.3621;482.2198;453.9456;443.4367;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Agriculture|AWM;kt N2O/yr;107.8419;133.2976;99.9177;117.812;123.4585;132.9433;125.198;123.0238;107.6233;100.8849;89.5812;83.3795;74.3013;67.3306;58.5859;52.2895;44.7294;39.3179;33.1561;28.7372;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Agriculture|Cropland Soils;kt N2O/yr;413.8716;455.145;409.4813;538.0674;513.2141;447.5429;449.0095;485.5819;472.892;465.4107;435.4069;436.074;427.2168;427.8071;416.4001;413.2133;401.7837;397.9265;382.5472;381.1024;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Agriculture|Pasture;kt N2O/yr;282.3186;350.6921;226.8609;233.3727;222.3266;223.5091;188.6196;171.4821;141.6766;127.7496;109.3279;99.0206;86.3838;77.2729;66.7414;59.332;50.849;44.9754;38.2423;33.5972;
MAgPIE;RCP1p9_SSP1pDEM_BIOD;IND;Emissions|N2O|Land Use|Forest Burning;kt N2O/yr;26.0765;24.4421;5.1796;5.181;5.1803;5.1811;5.1798;5.1784;5.1784;5.1784;5.18;5.1796;5.1793;5.1793;5.1793;5.2028;5.2322;5.2406;5.3511;5.3752;
